City,Date,Season,MatchNumber,Team1,Team2,Venue,TossWinner,TossDecision,WinningTeam,Margin,WonBy,Player_of_Match
Bangalore,4/18/2008,2007/08,1,Royal Challengers Bangalore,Kolkata Knight Riders,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Kolkata Knight Riders,140,runs,BB McCullum
Chandigarh,4/19/2008,2007/08,2,Kings XI Punjab,Chennai Super Kings,"Punjab Cricket Association Stadium, Mohali",Chennai Super Kings,bat,Chennai Super Kings,33,runs,MEK Hussey
Delhi,4/19/2008,2007/08,3,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Rajasthan Royals,bat,Delhi Daredevils,9,wickets,MF Maharoof
Mumbai,4/20/2008,2007/08,5,Mumbai Indians,Royal Challengers Bangalore,Wankhede Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,5,wickets,MV Boucher
Kolkata,4/20/2008,2007/08,4,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Deccan Chargers,bat,Kolkata Knight Riders,5,wickets,DJ Hussey
Jaipur,4/21/2008,2007/08,6,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,6,wickets,SR Watson
Hyderabad,4/22/2008,2007/08,7,Deccan Chargers,Delhi Daredevils,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Delhi Daredevils,9,wickets,V Sehwag
Chennai,4/23/2008,2007/08,8,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Mumbai Indians,field,Chennai Super Kings,6,runs,ML Hayden
Hyderabad,4/24/2008,2007/08,9,Deccan Chargers,Rajasthan Royals,"Rajiv Gandhi International Stadium, Uppal",Rajasthan Royals,field,Rajasthan Royals,3,wickets,YK Pathan
Chandigarh,4/25/2008,2007/08,10,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,field,Kings XI Punjab,66,runs,KC Sangakkara
Bangalore,4/26/2008,2007/08,12,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Rajasthan Royals,field,Rajasthan Royals,7,wickets,SR Watson
Chennai,4/26/2008,2007/08,11,Chennai Super Kings,Kolkata Knight Riders,"MA Chidambaram Stadium, Chepauk",Kolkata Knight Riders,bat,Chennai Super Kings,9,wickets,JDP Oram
Mumbai,4/27/2008,2007/08,14,Mumbai Indians,Deccan Chargers,Dr DY Patil Sports Academy,Deccan Chargers,field,Deccan Chargers,10,wickets,AC Gilchrist
Chandigarh,4/27/2008,2007/08,13,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,bat,Kings XI Punjab,4,wickets,SM Katich
Bangalore,4/28/2008,2007/08,15,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,bat,Chennai Super Kings,13,runs,MS Dhoni
Kolkata,4/29/2008,2007/08,16,Kolkata Knight Riders,Mumbai Indians,Eden Gardens,Kolkata Knight Riders,bat,Mumbai Indians,7,wickets,ST Jayasuriya
Delhi,4/30/2008,2007/08,17,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Royal Challengers Bangalore,field,Delhi Daredevils,10,runs,GD McGrath
Hyderabad,5/1/2008,2007/08,19,Deccan Chargers,Kings XI Punjab,"Rajiv Gandhi International Stadium, Uppal",Kings XI Punjab,field,Kings XI Punjab,7,wickets,SE Marsh
Jaipur,5/1/2008,2007/08,18,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium,Rajasthan Royals,bat,Rajasthan Royals,45,runs,SA Asnodkar
Chennai,5/2/2008,2007/08,20,Chennai Super Kings,Delhi Daredevils,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Delhi Daredevils,8,wickets,V Sehwag
Hyderabad,5/25/2008,2007/08,51,Deccan Chargers,Royal Challengers Bangalore,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Royal Challengers Bangalore,5,wickets,R Vinay Kumar
Chandigarh,5/3/2008,2007/08,22,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Kings XI Punjab,9,runs,IK Pathan
Mumbai,5/4/2008,2007/08,23,Mumbai Indians,Delhi Daredevils,Dr DY Patil Sports Academy,Delhi Daredevils,field,Mumbai Indians,29,runs,SM Pollock
Jaipur,5/4/2008,2007/08,24,Rajasthan Royals,Chennai Super Kings,Sawai Mansingh Stadium,Chennai Super Kings,bat,Rajasthan Royals,8,wickets,Sohail Tanvir
Bangalore,5/5/2008,2007/08,25,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,field,Kings XI Punjab,6,wickets,S Sreesanth
Chennai,5/6/2008,2007/08,26,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,field,Deccan Chargers,7,wickets,AC Gilchrist
Mumbai,5/7/2008,2007/08,27,Mumbai Indians,Rajasthan Royals,Dr DY Patil Sports Academy,Mumbai Indians,field,Mumbai Indians,7,wickets,A Nehra
Delhi,5/8/2008,2007/08,28,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Chennai Super Kings,field,Chennai Super Kings,4,wickets,MS Dhoni
Kolkata,5/8/2008,2007/08,29,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,5,runs,SC Ganguly
Jaipur,5/9/2008,2007/08,30,Rajasthan Royals,Deccan Chargers,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,8,wickets,YK Pathan
Bangalore,5/28/2008,2007/08,55,Royal Challengers Bangalore,Mumbai Indians,M Chinnaswamy Stadium,Mumbai Indians,field,Mumbai Indians,9,wickets,CRD Fernando
Chennai,5/10/2008,2007/08,31,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Kings XI Punjab,field,Chennai Super Kings,18,runs,L Balaji
Hyderabad,5/11/2008,2007/08,32,Deccan Chargers,Kolkata Knight Riders,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,bat,Kolkata Knight Riders,23,runs,SC Ganguly
Jaipur,5/11/2008,2007/08,33,Rajasthan Royals,Delhi Daredevils,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,3,wickets,SR Watson
Chandigarh,5/12/2008,2007/08,34,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bangalore,bat,Kings XI Punjab,9,wickets,SE Marsh
Kolkata,5/13/2008,2007/08,35,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,23,runs,Shoaib Akhtar
Mumbai,5/14/2008,2007/08,36,Mumbai Indians,Chennai Super Kings,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,9,wickets,ST Jayasuriya
Chandigarh,5/28/2008,2007/08,56,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,field,Kings XI Punjab,41,runs,SE Marsh
Delhi,5/15/2008,2007/08,37,Delhi Daredevils,Deccan Chargers,Feroz Shah Kotla,Deccan Chargers,field,Delhi Daredevils,12,runs,A Mishra
Mumbai,5/16/2008,2007/08,38,Mumbai Indians,Kolkata Knight Riders,Wankhede Stadium,Mumbai Indians,field,Mumbai Indians,8,wickets,SM Pollock
Delhi,5/17/2008,2007/08,40,Delhi Daredevils,Kings XI Punjab,Feroz Shah Kotla,Delhi Daredevils,bat,Kings XI Punjab,6,runs,DPMD Jayawardene
Jaipur,5/17/2008,2007/08,39,Rajasthan Royals,Royal Challengers Bangalore,Sawai Mansingh Stadium,Royal Challengers Bangalore,field,Rajasthan Royals,65,runs,GC Smith
Hyderabad,5/18/2008,2007/08,42,Deccan Chargers,Mumbai Indians,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,field,Mumbai Indians,25,runs,DJ Bravo
Kolkata,5/18/2008,2007/08,41,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Kolkata Knight Riders,bat,Chennai Super Kings,3,runs,M Ntini
Bangalore,5/19/2008,2007/08,43,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Delhi Daredevils,field,Delhi Daredevils,5,wickets,SP Goswami
Kolkata,5/20/2008,2007/08,44,Kolkata Knight Riders,Rajasthan Royals,Eden Gardens,Rajasthan Royals,field,Rajasthan Royals,6,wickets,YK Pathan
Mumbai,5/21/2008,2007/08,45,Mumbai Indians,Kings XI Punjab,Wankhede Stadium,Mumbai Indians,field,Kings XI Punjab,1,runs,SE Marsh
Chennai,5/21/2008,2007/08,46,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Royal Challengers Bangalore,14,runs,A Kumble
Chandigarh,5/23/2008,2007/08,48,Kings XI Punjab,Deccan Chargers,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Kings XI Punjab,6,wickets,SE Marsh
Delhi,5/24/2008,2007/08,50,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,field,Delhi Daredevils,5,wickets,KD Karthik
Chennai,5/24/2008,2007/08,49,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,bat,Rajasthan Royals,10,runs,JA Morkel
Bangalore,5/3/2008,2007/08,21,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Royal Challengers Bangalore,3,runs,P Kumar
Kolkata,5/25/2008,2007/08,52,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kings XI Punjab,bat,Kolkata Knight Riders,3,wickets,Umar Gul
Jaipur,5/26/2008,2007/08,53,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium,Rajasthan Royals,field,Rajasthan Royals,5,wickets,Sohail Tanvir
Hyderabad,5/27/2008,2007/08,54,Deccan Chargers,Chennai Super Kings,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,bat,Chennai Super Kings,7,wickets,SK Raina
Mumbai,5/30/2008,2007/08,Semi Final,Delhi Daredevils,Rajasthan Royals,Wankhede Stadium,Delhi Daredevils,field,Rajasthan Royals,105,runs,SR Watson
Mumbai,5/31/2008,2007/08,Semi Final,Chennai Super Kings,Kings XI Punjab,Wankhede Stadium,Kings XI Punjab,bat,Chennai Super Kings,9,wickets,M Ntini
Mumbai,6/1/2008,2007/08,Final,Chennai Super Kings,Rajasthan Royals,Dr DY Patil Sports Academy,Rajasthan Royals,field,Rajasthan Royals,3,wickets,YK Pathan
Cape Town,4/18/2009,2009,1,Chennai Super Kings,Mumbai Indians,Newlands,Chennai Super Kings,field,Mumbai Indians,19,runs,SR Tendulkar
Cape Town,4/18/2009,2009,2,Royal Challengers Bangalore,Rajasthan Royals,Newlands,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,75,runs,R Dravid
Cape Town,4/19/2009,2009,3,Delhi Daredevils,Kings XI Punjab,Newlands,Delhi Daredevils,field,Delhi Daredevils,10,wickets,DL Vettori
Cape Town,4/19/2009,2009,4,Deccan Chargers,Kolkata Knight Riders,Newlands,Kolkata Knight Riders,bat,Deccan Chargers,8,wickets,RP Singh
Port Elizabeth,4/20/2009,2009,5,Royal Challengers Bangalore,Chennai Super Kings,St George's Park,Chennai Super Kings,bat,Chennai Super Kings,92,runs,M Muralitharan
Durban,4/21/2009,2009,6,Kings XI Punjab,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,field,Kolkata Knight Riders,11,runs,CH Gayle
Cape Town,4/22/2009,2009,8,Royal Challengers Bangalore,Deccan Chargers,Newlands,Deccan Chargers,bat,Deccan Chargers,24,runs,AC Gilchrist
Durban,4/23/2009,2009,9,Chennai Super Kings,Delhi Daredevils,Kingsmead,Delhi Daredevils,bat,Delhi Daredevils,9,runs,AB de Villiers
Cape Town,4/23/2009,2009,10,Kolkata Knight Riders,Rajasthan Royals,Newlands,Kolkata Knight Riders,field,Rajasthan Royals,0,tie,YK Pathan
Durban,4/24/2009,2009,11,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,Kings XI Punjab,7,wickets,RS Bopara
Durban,4/25/2009,2009,12,Deccan Chargers,Mumbai Indians,Kingsmead,Deccan Chargers,bat,Deccan Chargers,12,runs,PP Ojha
Port Elizabeth,4/26/2009,2009,14,Royal Challengers Bangalore,Delhi Daredevils,St George's Park,Royal Challengers Bangalore,bat,Delhi Daredevils,6,wickets,TM Dilshan
Cape Town,4/26/2009,2009,15,Kings XI Punjab,Rajasthan Royals,Newlands,Kings XI Punjab,bat,Kings XI Punjab,27,runs,KC Sangakkara
Durban,4/27/2009,2009,16,Chennai Super Kings,Deccan Chargers,Kingsmead,Deccan Chargers,field,Deccan Chargers,6,wickets,HH Gibbs
Port Elizabeth,4/27/2009,2009,17,Kolkata Knight Riders,Mumbai Indians,St George's Park,Mumbai Indians,bat,Mumbai Indians,92,runs,SR Tendulkar
Centurion,4/28/2009,2009,18,Delhi Daredevils,Rajasthan Royals,SuperSport Park,Delhi Daredevils,bat,Rajasthan Royals,5,wickets,YK Pathan
Durban,4/29/2009,2009,19,Royal Challengers Bangalore,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,bat,Royal Challengers Bangalore,5,wickets,MV Boucher
Durban,4/29/2009,2009,20,Kings XI Punjab,Mumbai Indians,Kingsmead,Kings XI Punjab,bat,Kings XI Punjab,3,runs,KC Sangakkara
Centurion,4/30/2009,2009,21,Deccan Chargers,Delhi Daredevils,SuperSport Park,Delhi Daredevils,field,Delhi Daredevils,6,wickets,DP Nannes
Centurion,4/30/2009,2009,22,Chennai Super Kings,Rajasthan Royals,SuperSport Park,Rajasthan Royals,field,Chennai Super Kings,38,runs,SK Raina
East London,5/1/2009,2009,23,Kolkata Knight Riders,Mumbai Indians,Buffalo Park,Mumbai Indians,bat,Mumbai Indians,9,runs,JP Duminy
Durban,5/1/2009,2009,24,Royal Challengers Bangalore,Kings XI Punjab,Kingsmead,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,8,runs,Yuvraj Singh
Port Elizabeth,5/2/2009,2009,25,Deccan Chargers,Rajasthan Royals,St George's Park,Deccan Chargers,bat,Rajasthan Royals,3,wickets,YK Pathan
Johannesburg,5/2/2009,2009,26,Chennai Super Kings,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,field,Chennai Super Kings,18,runs,SB Jakati
Port Elizabeth,5/3/2009,2009,27,Kings XI Punjab,Kolkata Knight Riders,St George's Park,Kolkata Knight Riders,bat,Kings XI Punjab,6,wickets,DPMD Jayawardene
Johannesburg,5/3/2009,2009,28,Royal Challengers Bangalore,Mumbai Indians,New Wanderers Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,9,wickets,JH Kallis
East London,5/4/2009,2009,29,Chennai Super Kings,Deccan Chargers,Buffalo Park,Chennai Super Kings,bat,Chennai Super Kings,78,runs,MS Dhoni
Durban,5/5/2009,2009,30,Kings XI Punjab,Rajasthan Royals,Kingsmead,Kings XI Punjab,field,Rajasthan Royals,78,runs,GC Smith
Durban,5/5/2009,2009,31,Delhi Daredevils,Kolkata Knight Riders,Kingsmead,Kolkata Knight Riders,bat,Delhi Daredevils,9,wickets,G Gambhir
Centurion,5/6/2009,2009,32,Deccan Chargers,Mumbai Indians,SuperSport Park,Deccan Chargers,bat,Deccan Chargers,19,runs,RG Sharma
Centurion,5/7/2009,2009,33,Royal Challengers Bangalore,Rajasthan Royals,SuperSport Park,Rajasthan Royals,field,Rajasthan Royals,7,wickets,A Singh
Centurion,5/7/2009,2009,34,Chennai Super Kings,Kings XI Punjab,SuperSport Park,Chennai Super Kings,bat,Chennai Super Kings,12,runs,ML Hayden
East London,5/8/2009,2009,35,Delhi Daredevils,Mumbai Indians,Buffalo Park,Mumbai Indians,bat,Delhi Daredevils,7,wickets,A Nehra
Kimberley,5/9/2009,2009,36,Deccan Chargers,Kings XI Punjab,De Beers Diamond Oval,Kings XI Punjab,field,Kings XI Punjab,3,wickets,DPMD Jayawardene
Kimberley,5/9/2009,2009,37,Chennai Super Kings,Rajasthan Royals,De Beers Diamond Oval,Rajasthan Royals,bat,Chennai Super Kings,7,wickets,S Badrinath
Port Elizabeth,5/10/2009,2009,38,Royal Challengers Bangalore,Mumbai Indians,St George's Park,Mumbai Indians,bat,Mumbai Indians,16,runs,JP Duminy
Johannesburg,5/10/2009,2009,39,Delhi Daredevils,Kolkata Knight Riders,New Wanderers Stadium,Delhi Daredevils,field,Delhi Daredevils,7,wickets,A Mishra
Kimberley,5/11/2009,2009,40,Deccan Chargers,Rajasthan Royals,De Beers Diamond Oval,Deccan Chargers,bat,Deccan Chargers,53,runs,DR Smith
Centurion,5/12/2009,2009,41,Royal Challengers Bangalore,Kolkata Knight Riders,SuperSport Park,Royal Challengers Bangalore,field,Royal Challengers Bangalore,6,wickets,LRPL Taylor
Centurion,5/12/2009,2009,42,Kings XI Punjab,Mumbai Indians,SuperSport Park,Kings XI Punjab,bat,Mumbai Indians,8,wickets,Harbhajan Singh
Durban,5/13/2009,2009,43,Deccan Chargers,Delhi Daredevils,Kingsmead,Deccan Chargers,field,Delhi Daredevils,12,runs,R Bhatia
Durban,5/14/2009,2009,44,Royal Challengers Bangalore,Chennai Super Kings,Kingsmead,Chennai Super Kings,bat,Royal Challengers Bangalore,2,wickets,LRPL Taylor
Durban,5/14/2009,2009,45,Mumbai Indians,Rajasthan Royals,Kingsmead,Rajasthan Royals,bat,Rajasthan Royals,2,runs,SK Warne
Bloemfontein,5/15/2009,2009,46,Delhi Daredevils,Kings XI Punjab,OUTsurance Oval,Kings XI Punjab,field,Kings XI Punjab,6,wickets,B Lee
Port Elizabeth,5/16/2009,2009,47,Chennai Super Kings,Mumbai Indians,St George's Park,Mumbai Indians,bat,Chennai Super Kings,7,wickets,ML Hayden
Johannesburg,5/16/2009,2009,48,Deccan Chargers,Kolkata Knight Riders,New Wanderers Stadium,Deccan Chargers,field,Deccan Chargers,6,wickets,RG Sharma
Johannesburg,5/17/2009,2009,49,Deccan Chargers,Kings XI Punjab,New Wanderers Stadium,Deccan Chargers,field,Kings XI Punjab,1,runs,Yuvraj Singh
Bloemfontein,5/17/2009,2009,50,Delhi Daredevils,Rajasthan Royals,OUTsurance Oval,Delhi Daredevils,bat,Delhi Daredevils,14,runs,AB de Villiers
Centurion,5/18/2009,2009,51,Chennai Super Kings,Kolkata Knight Riders,SuperSport Park,Chennai Super Kings,bat,Kolkata Knight Riders,7,wickets,BJ Hodge
Johannesburg,5/19/2009,2009,52,Royal Challengers Bangalore,Delhi Daredevils,New Wanderers Stadium,Delhi Daredevils,bat,Royal Challengers Bangalore,7,wickets,JH Kallis
Durban,5/20/2009,2009,53,Kolkata Knight Riders,Rajasthan Royals,Kingsmead,Kolkata Knight Riders,field,Kolkata Knight Riders,4,wickets,LR Shukla
Durban,5/20/2009,2009,54,Chennai Super Kings,Kings XI Punjab,Kingsmead,Chennai Super Kings,bat,Chennai Super Kings,24,runs,M Muralitharan
Centurion,5/21/2009,2009,55,Delhi Daredevils,Mumbai Indians,SuperSport Park,Delhi Daredevils,field,Delhi Daredevils,4,wickets,V Sehwag
Centurion,5/21/2009,2009,56,Royal Challengers Bangalore,Deccan Chargers,SuperSport Park,Royal Challengers Bangalore,bat,Royal Challengers Bangalore,12,runs,MK Pandey
Centurion,5/22/2009,2009,Semi Final,Delhi Daredevils,Deccan Chargers,SuperSport Park,Deccan Chargers,field,Deccan Chargers,6,wickets,AC Gilchrist
Johannesburg,5/23/2009,2009,Semi Final,Royal Challengers Bangalore,Chennai Super Kings,New Wanderers Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,6,wickets,MK Pandey
Johannesburg,5/24/2009,2009,Final,Royal Challengers Bangalore,Deccan Chargers,New Wanderers Stadium,Royal Challengers Bangalore,field,Deccan Chargers,6,runs,A Kumble
Mumbai,3/12/2010,2009/10,1,Deccan Chargers,Kolkata Knight Riders,Dr DY Patil Sports Academy,Deccan Chargers,field,Kolkata Knight Riders,11,runs,AD Mathews
Mumbai,3/13/2010,2009/10,2,Mumbai Indians,Rajasthan Royals,Brabourne Stadium,Mumbai Indians,bat,Mumbai Indians,4,runs,YK Pathan
Chandigarh,3/13/2010,2009/10,3,Kings XI Punjab,Delhi Daredevils,"Punjab Cricket Association Stadium, Mohali",Delhi Daredevils,field,Delhi Daredevils,5,wickets,G Gambhir
Kolkata,3/14/2010,2009/10,4,Kolkata Knight Riders,Royal Challengers Bangalore,Eden Gardens,Kolkata Knight Riders,field,Kolkata Knight Riders,7,wickets,MK Tiwary
Chennai,3/14/2010,2009/10,5,Chennai Super Kings,Deccan Chargers,"MA Chidambaram Stadium, Chepauk",Deccan Chargers,bat,Deccan Chargers,31,runs,WPUJC Vaas
Ahmedabad,3/15/2010,2009/10,6,Rajasthan Royals,Delhi Daredevils,"Sardar Patel Stadium, Motera",Delhi Daredevils,field,Delhi Daredevils,6,wickets,V Sehwag
Bangalore,3/16/2010,2009/10,7,Royal Challengers Bangalore,Kings XI Punjab,M Chinnaswamy Stadium,Kings XI Punjab,bat,Royal Challengers Bangalore,8,wickets,JH Kallis
Kolkata,3/16/2010,2009/10,8,Kolkata Knight Riders,Chennai Super Kings,Eden Gardens,Chennai Super Kings,bat,Chennai Super Kings,55,runs,MS Dhoni
Delhi,3/17/2010,2009/10,9,Delhi Daredevils,Mumbai Indians,Feroz Shah Kotla,Delhi Daredevils,field,Mumbai Indians,98,runs,SR Tendulkar
Bangalore,3/18/2010,2009/10,10,Royal Challengers Bangalore,Rajasthan Royals,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Royal Challengers Bangalore,10,wickets,JH Kallis
Delhi,3/19/2010,2009/10,11,Delhi Daredevils,Chennai Super Kings,Feroz Shah Kotla,Delhi Daredevils,bat,Chennai Super Kings,5,wickets,ML Hayden
Cuttack,3/19/2010,2009/10,12,Deccan Chargers,Kings XI Punjab,Barabati Stadium,Kings XI Punjab,field,Deccan Chargers,6,runs,A Symonds
Ahmedabad,3/20/2010,2009/10,13,Rajasthan Royals,Kolkata Knight Riders,"Sardar Patel Stadium, Motera",Rajasthan Royals,bat,Rajasthan Royals,34,runs,AA Jhunjhunwala
Mumbai,3/20/2010,2009/10,14,Mumbai Indians,Royal Challengers Bangalore,Brabourne Stadium,Mumbai Indians,bat,Royal Challengers Bangalore,7,wickets,JH Kallis
Cuttack,3/21/2010,2009/10,15,Deccan Chargers,Delhi Daredevils,Barabati Stadium,Deccan Chargers,bat,Deccan Chargers,10,runs,A Symonds
Chennai,3/21/2010,2009/10,16,Chennai Super Kings,Kings XI Punjab,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,field,Kings XI Punjab,0,tie,J Theron
Mumbai,3/22/2010,2009/10,17,Mumbai Indians,Kolkata Knight Riders,Brabourne Stadium,Kolkata Knight Riders,bat,Mumbai Indians,7,wickets,SR Tendulkar
Bangalore,3/23/2010,2009/10,18,Royal Challengers Bangalore,Chennai Super Kings,M Chinnaswamy Stadium,Chennai Super Kings,field,Royal Challengers Bangalore,36,runs,RV Uthappa
Chandigarh,3/24/2010,2009/10,19,Kings XI Punjab,Rajasthan Royals,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,field,Rajasthan Royals,31,runs,AC Voges
Mumbai,3/25/2010,2009/10,21,Chennai Super Kings,Mumbai Indians,"Brabourne Stadium, Mumbai",Mumbai Indians,field,Mumbai Indians,5,wickets,SR Tendulkar
Ahmedabad,3/26/2010,2009/10,22,Rajasthan Royals,Deccan Chargers,"Sardar Patel Stadium, Motera",Deccan Chargers,bat,Rajasthan Royals,8,wickets,YK Pathan
Chandigarh,3/27/2010,2009/10,23,Kings XI Punjab,Kolkata Knight Riders,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,bat,Kolkata Knight Riders,39,runs,MK Tiwary
Bangalore,3/25/2010,2009/10,20,Royal Challengers Bangalore,Delhi Daredevils,M Chinnaswamy Stadium,Royal Challengers Bangalore,field,Delhi Daredevils,17,runs,KM Jadhav
Ahmedabad,3/28/2010,2009/10,24,Rajasthan Royals,Chennai Super Kings,"Sardar Patel Stadium, Motera",Rajasthan Royals,bat,Rajasthan Royals,17,runs,NV Ojha
Mumbai,3/28/2010,2009/10,25,Deccan Chargers,Mumbai Indians,Dr DY Patil Sports Academy,Deccan Chargers,field,Mumbai Indians,41,runs,Harbhajan Singh
Delhi,3/29/2010,2009/10,26,Delhi Daredevils,Kolkata Knight Riders,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,40,runs,DA Warner
Mumbai,3/30/2010,2009/10,27,Mumbai Indians,Kings XI Punjab,Brabourne Stadium,Mumbai Indians,field,Mumbai Indians,4,wickets,SL Malinga
Chennai,3/31/2010,2009/10,28,Chennai Super Kings,Royal Challengers Bangalore,"MA Chidambaram Stadium, Chepauk",Royal Challengers Bangalore,bat,Chennai Super Kings,5,wickets,M Vijay
Delhi,3/31/2010,2009/10,29,Delhi Daredevils,Rajasthan Royals,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,67,runs,KD Karthik
Kolkata,4/1/2010,2009/10,30,Kolkata Knight Riders,Deccan Chargers,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,24,runs,SC Ganguly
Chandigarh,4/2/2010,2009/10,31,Kings XI Punjab,Royal Challengers Bangalore,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,bat,Royal Challengers Bangalore,6,wickets,KP Pietersen
Chennai,4/3/2010,2009/10,32,Chennai Super Kings,Rajasthan Royals,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,23,runs,M Vijay
Mumbai,4/3/2010,2009/10,33,Mumbai Indians,Deccan Chargers,Brabourne Stadium,Mumbai Indians,bat,Mumbai Indians,63,runs,AT Rayudu
Kolkata,4/4/2010,2009/10,34,Kolkata Knight Riders,Kings XI Punjab,Eden Gardens,Kolkata Knight Riders,bat,Kings XI Punjab,8,wickets,DPMD Jayawardene
Delhi,4/4/2010,2009/10,35,Delhi Daredevils,Royal Challengers Bangalore,Feroz Shah Kotla,Delhi Daredevils,bat,Delhi Daredevils,37,runs,PD Collingwood
Nagpur,4/5/2010,2009/10,36,Deccan Chargers,Rajasthan Royals,"Vidarbha Cricket Association Stadium, Jamtha",Rajasthan Royals,bat,Rajasthan Royals,2,runs,SK Warne
Chennai,4/6/2010,2009/10,37,Chennai Super Kings,Mumbai Indians,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,bat,Chennai Super Kings,24,runs,SK Raina
Jaipur,4/7/2010,2009/10,38,Rajasthan Royals,Kings XI Punjab,Sawai Mansingh Stadium,Kings XI Punjab,bat,Rajasthan Royals,9,wickets,MJ Lumb
Kolkata,4/7/2010,2009/10,39,Kolkata Knight Riders,Delhi Daredevils,Eden Gardens,Kolkata Knight Riders,bat,Kolkata Knight Riders,14,runs,SC Ganguly
Bangalore,4/8/2010,2009/10,40,Royal Challengers Bangalore,Deccan Chargers,M Chinnaswamy Stadium,Deccan Chargers,field,Deccan Chargers,7,wickets,TL Suman
Chandigarh,4/9/2010,2009/10,41,Kings XI Punjab,Mumbai Indians,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,bat,Kings XI Punjab,6,wickets,KC Sangakkara
Nagpur,4/10/2010,2009/10,42,Deccan Chargers,Chennai Super Kings,"Vidarbha Cricket Association Stadium, Jamtha",Chennai Super Kings,bat,Deccan Chargers,6,wickets,RJ Harris
